junctionid,vehicleid,turn,priority,arrivaltime,departuretime,delay
MaryRosslandJuction,veh_58,right,1,59000000000,118000000000,59.0
MaryRosslandJuction,veh_582,straight,1,1248000000000,1889000000000,641.0
MaryRosslandJuction,veh_586,left,1,404000000000,1477000000000,1073.0
MaryRosslandJuction,veh_589,straight,1,402000000000,702000000000,300.0
MaryRosslandJuction,veh_590,left,1,395000000000,1603000000000,1208.0
MaryRosslandJuction,veh_591,right,1,437000000000,747000000000,310.0
MaryRosslandJuction,veh_594,left,1,80000000000,432000000000,352.0
MaryRosslandJuction,veh_595,right,1,81000000000,285000000000,204.0
MaryRosslandJuction,veh_596,left,1,82000000000,440000000000,358.0
MaryRosslandJuction,veh_597,straight,1,83000000000,353000000000,270.0
MaryRosslandJuction,veh_598,straight,1,117000000000,693000000000,576.0
MaryRosslandJuction,veh_599,right,1,119000000000,567000000000,448.0
MaryRosslandJuction,veh_60,left,1,61000000000,208000000000,147.0
MaryRosslandJuction,veh_600,left,1,120000000000,630000000000,510.0
MaryRosslandJuction,veh_601,straight,1,122000000000,702000000000,580.0
MaryRosslandJuction,veh_602,right,1,449000000000,978000000000,529.0
MaryRosslandJuction,veh_604,left,1,451000000000,530000000000,79.0
MaryRosslandJuction,veh_610,right,1,951000000000,1269000000000,318.0
MaryRosslandJuction,veh_614,straight,1,1250000000000,1898000000000,648.0
MaryRosslandJuction,veh_618,left,1,413000000000,1629000000000,1216.0
MaryRosslandJuction,veh_62,right,1,77000000000,136000000000,59.0
MaryRosslandJuction,veh_621,straight,1,422000000000,875000000000,453.0
MaryRosslandJuction,veh_622,left,1,440000000000,1610000000000,1170.0
MaryRosslandJuction,veh_623,right,1,446000000000,753000000000,307.0
MaryRosslandJuction,veh_626,left,1,84000000000,442000000000,358.0
MaryRosslandJuction,veh_627,right,1,85000000000,287000000000,202.0
MaryRosslandJuction,veh_628,left,1,86000000000,476000000000,390.0
MaryRosslandJuction,veh_629,straight,1,87000000000,297000000000,210.0
MaryRosslandJuction,veh_630,straight,1,123000000000,701000000000,578.0
MaryRosslandJuction,veh_631,right,1,124000000000,572000000000,448.0
MaryRosslandJuction,veh_632,left,1,126000000000,828000000000,702.0
MaryRosslandJuction,veh_633,straight,1,127000000000,873000000000,746.0
MaryRosslandJuction,veh_634,right,1,458000000000,980000000000,522.0
MaryRosslandJuction,veh_636,left,1,460000000000,532000000000,72.0
MaryRosslandJuction,veh_642,right,1,953000000000,1276000000000,323.0
MaryRosslandJuction,veh_646,straight,1,1322000000000,1892000000000,570.0
MaryRosslandJuction,veh_650,left,1,420000000000,1654000000000,1234.0
MaryRosslandJuction,veh_653,straight,1,414000000000,873000000000,459.0
MaryRosslandJuction,veh_654,left,1,449000000000,1555000000000,1106.0
MaryRosslandJuction,veh_655,right,1,473000000000,754000000000,281.0
MaryRosslandJuction,veh_658,left,1,88000000000,494000000000,406.0
MaryRosslandJuction,veh_659,right,1,89000000000,297000000000,208.0
MaryRosslandJuction,veh_66,right,1,144000000000,194000000000,50.0
MaryRosslandJuction,veh_660,left,1,90000000000,496000000000,406.0
MaryRosslandJuction,veh_661,straight,1,91000000000,511000000000,420.0
MaryRosslandJuction,veh_662,straight,1,128000000000,578000000000,450.0
MaryRosslandJuction,veh_663,right,1,130000000000,582000000000,452.0
MaryRosslandJuction,veh_664,left,1,131000000000,829000000000,698.0
MaryRosslandJuction,veh_665,straight,1,133000000000,875000000000,742.0
MaryRosslandJuction,veh_666,right,1,466000000000,986000000000,520.0
MaryRosslandJuction,veh_668,left,1,469000000000,538000000000,69.0
MaryRosslandJuction,veh_674,right,1,1170000000000,1347000000000,177.0
MaryRosslandJuction,veh_678,straight,1,1324000000000,1690000000000,366.0
MaryRosslandJuction,veh_682,left,1,429000000000,1700000000000,1271.0
MaryRosslandJuction,veh_685,straight,1,457000000000,883000000000,426.0
MaryRosslandJuction,veh_686,left,1,476000000000,1764000000000,1288.0
MaryRosslandJuction,veh_687,right,1,483000000000,762000000000,279.0
MaryRosslandJuction,veh_690,left,1,92000000000,530000000000,438.0
